pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(21, 90), (131, 98), (124, 171)], fitness=(0.026382538063946193,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(114, 185), (64, 190), (16, 134)], fitness=(0.026430208230664554,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(124, 42), (114, 109), (45, 112)], fitness=(0.026364239687594382,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(95, 133), (35, 152), (8, 179)], fitness=(0.02637438610372622,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(155, 113), (146, 88), (143, 34)], fitness=(0.026381213544490856,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(134, 97), (51, 112), (6, 34)], fitness=(0.02637925080168746,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(185, 116), (146, 148), (50, 122)], fitness=(0.02635496789019043,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(16, 132), (88, 157), (118, 55)], fitness=(0.026358975816915375,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.9, best_individual=[(169, 21), (156, 42), (161, 161)], fitness=(0.026382884873452972,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(19, 143), (137, 92), (77, 10)], fitness=(0.47069502361483806,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(48, 121), (133, 151), (147, 127)], fitness=(0.026377344592263485,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(13, 194), (81, 152), (190, 163)], fitness=(0.026329664947107312,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(8, 57), (26, 64), (89, 196)], fitness=(0.0263191376748656,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(149, 178), (127, 104), (186, 87)], fitness=(0.026338998220882592,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(28, 100), (102, 154), (54, 186)], fitness=(0.026351471412554783,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(195, 69), (22, 167), (8, 174)], fitness=(0.13230620135099325,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(53, 45), (18, 81), (187, 10)], fitness=(0.0,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(70, 193), (104, 193), (119, 106)], fitness=(0.026371692737531482,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.1, best_individual=[(32, 183), (137, 116), (57, 56)], fitness=(0.38867209990206275,)
